,Title,StartDate,Link,Post,Status,processed
0,Dean Cannon,"November 16, 2010",https://www.politifact.com/factchecks/2010/nov/18/dean-cannon/dean-cannon-says-state-supreme-court-lacks-express/,"The Florida Supreme Court has ""no express authority in the Florida Constitution"" to remove questions from the ballot proposed by the Legislature.",barely-true,"the florida supreme court has no express authority in the florida constitution to remove questions from the ballot proposed by the legislature

Given a text, you are required to generate three different queries from the text for the Google Search Engine to get the most relevant web content to fact-check the text. Your answer should follow the following format:

1. QUERY_1
2. QUERY_2
3. QUERY_3
Where QUERY_1, QUERY_2, and QUERY_3 represent query text without quotation marks.

If the given text is not informative enough to generate a query, you should answer ""NONE"".
"
1,Richard Lugar,"November 16, 2010",https://www.politifact.com/factchecks/2010/nov/18/richard-lugar/richard-lugar-says-ending-earmarks-wont-save-money/,"""Eliminating earmarks does not reduce spending.""",mostly-true,"eliminating earmarks does not reduce spending

Given a text, you are required to generate three different queries from the text for the Google Search Engine to get the most relevant web content to fact-check the text. Your answer should follow the following format:

1. QUERY_1
2. QUERY_2
3. QUERY_3
Where QUERY_1, QUERY_2, and QUERY_3 represent query text without quotation marks.

If the given text is not informative enough to generate a query, you should answer ""NONE"".
"
2,John Pistole,"November 16, 2010",https://www.politifact.com/factchecks/2010/nov/18/john-pistole/tsa-administrator-claims-new-body-scanners-emit-mu/,"The radiation coming from the new TSA body scanners is ""equivalent to about three minutes' worth of air travel by anybody, say, at 30,000 feet.""",true,"the radiation coming from the new tsa body scanners is equivalent to about three minutes worth of air travel by anybody say at feet

Given a text, you are required to generate three different queries from the text for the Google Search Engine to get the most relevant web content to fact-check the text. Your answer should follow the following format:

1. QUERY_1
2. QUERY_2
3. QUERY_3
Where QUERY_1, QUERY_2, and QUERY_3 represent query text without quotation marks.

If the given text is not informative enough to generate a query, you should answer ""NONE"".
"
3,John Boehner,"November 10, 2010",https://www.politifact.com/factchecks/2010/nov/18/john-boehner/john-boehner-says-federal-workers-make-twice-much-/,"""It’s gotten to a point where the average federal worker makes twice as much as the average private sector worker.""",false,"its gotten to a point where the average federal worker makes twice as much as the average private sector worker

Given a text, you are required to generate three different queries from the text for the Google Search Engine to get the most relevant web content to fact-check the text. Your answer should follow the following format:

1. QUERY_1
2. QUERY_2
3. QUERY_3
Where QUERY_1, QUERY_2, and QUERY_3 represent query text without quotation marks.

If the given text is not informative enough to generate a query, you should answer ""NONE"".
"
4,One Wisconsin Now,"November 9, 2010",https://www.politifact.com/factchecks/2010/nov/18/one-wisconsin-now/one-wisconsin-now-says-scott-walker-told-uw-regent/,"In his first meeting with University of Wisconsin System officials, Republican Governor elect Scott Walker told them to prepare for cuts.",false,"in his first meeting with university of wisconsin system officials republican governor elect scott walker told them to prepare for cuts

Given a text, you are required to generate three different queries from the text for the Google Search Engine to get the most relevant web content to fact-check the text. Your answer should follow the following format:

1. QUERY_1
2. QUERY_2
3. QUERY_3
Where QUERY_1, QUERY_2, and QUERY_3 represent query text without quotation marks.

If the given text is not informative enough to generate a query, you should answer ""NONE"".
"
5,Art Acevedo,"November 14, 2010",https://www.politifact.com/factchecks/2010/nov/18/art-acevedo/austin-police-chief-says-texas-leads-nation-drunk-/,"Texas leads ""the country in drunk driving fatalities.""",mostly-true,"texas leads the country in drunk driving fatalities

Given a text, you are required to generate three different queries from the text for the Google Search Engine to get the most relevant web content to fact-check the text. Your answer should follow the following format:

1. QUERY_1
2. QUERY_2
3. QUERY_3
Where QUERY_1, QUERY_2, and QUERY_3 represent query text without quotation marks.

If the given text is not informative enough to generate a query, you should answer ""NONE"".
"
6,Rick Perry,"November 4, 2010",https://www.politifact.com/factchecks/2010/nov/18/rick-perry/gov-rick-perry-says-153-businesses-have-moved-cali/,"""Since the first of the year, 153 businesses at last count had moved out of California to Texas.""",half-true,"since the first of the year businesses at last count had moved out of california to texas

Given a text, you are required to generate three different queries from the text for the Google Search Engine to get the most relevant web content to fact-check the text. Your answer should follow the following format:

1. QUERY_1
2. QUERY_2
3. QUERY_3
Where QUERY_1, QUERY_2, and QUERY_3 represent query text without quotation marks.

If the given text is not informative enough to generate a query, you should answer ""NONE"".
"
7,Michele Bachmann,"November 16, 2010",https://www.politifact.com/factchecks/2010/nov/17/michele-bachmann/michele-bachmann-250000-gross-sales-tax-increase/,"Small businesses that have ""$250,000 in gross sales for the business. They're the ones that are looking at massive tax increases.""",pants-fire,"small businesses that have 250000 in gross sales for the business theyre the ones that are looking at massive tax increases

Given a text, you are required to generate three different queries from the text for the Google Search Engine to get the most relevant web content to fact-check the text. Your answer should follow the following format:

1. QUERY_1
2. QUERY_2
3. QUERY_3
Where QUERY_1, QUERY_2, and QUERY_3 represent query text without quotation marks.

If the given text is not informative enough to generate a query, you should answer ""NONE"".
"
8,Paul Krugman,"November 14, 2010",https://www.politifact.com/factchecks/2010/nov/17/paul-krugman/paul-krugman-said-obamas-deficit-co-chairs-suggest/,"A proposal to reduce the deficit ""involved large tax cuts for the top bracket.""",half-true,"a proposal to reduce the deficit involved large tax cuts for the top bracket

Given a text, you are required to generate three different queries from the text for the Google Search Engine to get the most relevant web content to fact-check the text. Your answer should follow the following format:

1. QUERY_1
2. QUERY_2
3. QUERY_3
Where QUERY_1, QUERY_2, and QUERY_3 represent query text without quotation marks.

If the given text is not informative enough to generate a query, you should answer ""NONE"".
"
9,Tim Ryan,"November 17, 2010",https://www.politifact.com/factchecks/2010/nov/17/tim-ryan/rep-tim-ryan-not-shy-about-bringing-home-bacon/,"""Congressman Ryan has secured a grand total of $116,838,763 to date (for the Mahoning Valley) and has an additional $27,095,000 pending in FY2010 spending bills.""",true,"congressman ryan has secured a grand total of 116838763 to date for the mahoning valley and has an additional 27095000 pending in fy2010 spending bills

Given a text, you are required to generate three different queries from the text for the Google Search Engine to get the most relevant web content to fact-check the text. Your answer should follow the following format:

1. QUERY_1
2. QUERY_2
3. QUERY_3
Where QUERY_1, QUERY_2, and QUERY_3 represent query text without quotation marks.

If the given text is not informative enough to generate a query, you should answer ""NONE"".
"
